symbol,articlesInLastWeek,companyNewsScore,bearishPercent,bullishPercent,averageSentimentScore,totalArticles,sectorAverageBullishPercent,sectorAverageNewsScore,sector,marketCap,peRatio,price
NVDA,175,0.5497,0.0857,0.4343,0.0995,175,0.5672,0.5757,Technology,3411583959040.0,47.58,139.89
V,167,0.5432,0.024,0.3593,0.0865,167,0.3882,0.5556,Financial Services,691940032512.0,36.27,361.2
D,163,0.565,0.0245,0.5337,0.1299,163,0.6583,0.6078,Utilities,47432232960.0,21.47,55.62
VTRS,156,0.5588,0.0192,0.5513,0.1175,156,0.5927,0.5837,Healthcare,10216884224.0,NaN,8.7
OGN,151,0.5503,0.0397,0.5033,0.1006,151,0.0,0.0,Unknown,0.0,0.0,0.0
CIVI,146,0.5635,0.0137,0.6233,0.1271,146,0.0,0.0,Unknown,0.0,0.0,0.0
IOVA,146,0.5557,0.0137,0.5068,0.1114,146,0.0,0.0,Unknown,0.0,0.0,0.0
AM,143,0.6519,0.0,0.8252,0.3038,143,0.0,0.0,Unknown,0.0,0.0,0.0
BBAI,140,0.5661,0.0,0.6357,0.1322,140,0.0,0.0,Unknown,0.0,0.0,0.0
B,138,0.5547,0.058,0.4493,0.1095,138,0.0,0.0,Unknown,0.0,0.0,0.0
NET,136,0.5404,0.0,0.4853,0.0808,136,0.0,0.0,Unknown,0.0,0.0,0.0
J,120,0.5598,0.0417,0.5083,0.1195,120,0.5128,0.5687,Industrials,15157679104.0,41.63,126.15
DNUT,120,0.5543,0.0083,0.525,0.1087,120,0.0,0.0,Unknown,0.0,0.0,0.0
T,120,0.5449,0.0417,0.3583,0.0898,120,0.5255,0.5696,Communication Services,197336285184.0,16.81,27.4
LPRO,120,0.5414,0.0,0.5417,0.0829,120,0.0,0.0,Unknown,0.0,0.0,0.0
NPWR,118,0.5447,0.0,0.5932,0.0893,118,0.0,0.0,Unknown,0.0,0.0,0.0
TMCI,115,0.542,0.0,0.6,0.084,115,0.0,0.0,Unknown,0.0,0.0,0.0
IBTA,113,0.5463,0.0442,0.531,0.0927,113,0.0,0.0,Unknown,0.0,0.0,0.0
CGC,111,0.5652,0.027,0.7027,0.1303,111,0.0,0.0,Unknown,0.0,0.0,0.0
M,109,0.5546,0.0459,0.4679,0.1093,109,0.0,0.0,Unknown,0.0,0.0,0.0
PM,108,0.632,0.0185,0.7315,0.2639,108,0.5072,0.5582,Consumer Defensive,273636212736.0,27.69,175.8
WST,106,0.5598,0.0,0.5472,0.1196,106,0.5927,0.5837,Healthcare,15239128064.0,33.35,212.11
ZBIO,105,0.5559,0.0381,0.5333,0.1118,105,0.0,0.0,Unknown,0.0,0.0,0.0
ECG,100,0.5419,0.1,0.49,0.0839,100,0.0,0.0,Unknown,0.0,0.0,0.0
NSSC,98,0.5633,0.0204,0.602,0.1267,98,0.0,0.0,Unknown,0.0,0.0,0.0
DMRC,93,0.5611,0.0215,0.6022,0.1223,93,0.0,0.0,Unknown,0.0,0.0,0.0
UNH,93,0.5403,0.0538,0.4516,0.0805,93,0.5927,0.5837,Healthcare,271969632256.0,12.55,299.81
CAR,92,0.5606,0.0326,0.6304,0.1213,92,0.0,0.0,Unknown,0.0,0.0,0.0
R,92,0.5497,0.0109,0.4022,0.0994,92,0.0,0.0,Unknown,0.0,0.0,0.0
MSTR,91,0.5674,0.0,0.6374,0.1348,91,0.0,0.0,Unknown,0.0,0.0,0.0
TD,84,0.6153,0.0238,0.6667,0.2306,84,0.0,0.0,Unknown,0.0,0.0,0.0
BITF,80,0.569,0.0,0.625,0.1379,80,0.0,0.0,Unknown,0.0,0.0,0.0
DV,77,0.5303,0.039,0.3247,0.0606,77,0.0,0.0,Unknown,0.0,0.0,0.0
BC,76,0.5571,0.0395,0.5,0.1142,76,0.0,0.0,Unknown,0.0,0.0,0.0
SOUN,76,0.5563,0.0526,0.6711,0.1125,76,0.0,0.0,Unknown,0.0,0.0,0.0
SEI,72,0.5525,0.0278,0.5556,0.105,72,0.0,0.0,Unknown,0.0,0.0,0.0
META,70,0.5373,0.0286,0.1571,0.0745,70,0.5255,0.5696,Communication Services,1618373640192.0,25.19,643.66
URGN,69,0.5318,0.0725,0.3043,0.0635,69,0.0,0.0,Unknown,0.0,0.0,0.0
CRM,68,0.5551,0.1324,0.5,0.1103,68,0.5672,0.5757,Technology,246818914304.0,40.51,257.24
NAV,68,0.5471,0.0588,0.3824,0.0943,68,0.0,0.0,Unknown,0.0,0.0,0.0
TSLA,66,0.5762,0.0,0.4394,0.1524,66,0.4488,0.5652,Consumer Cyclical,1161349300224.0,206.03,360.56
ELV,66,0.5236,0.0303,0.0758,0.0472,66,0.5927,0.5837,Healthcare,86099312640.0,14.83,381.08
PLC,65,0.567,0.0,0.4462,0.134,65,0.0,0.0,Unknown,0.0,0.0,0.0
F,59,0.5492,0.0339,0.4068,0.0984,59,0.4488,0.5652,Consumer Cyclical,40600576000.0,8.17,10.21
LNG,59,0.5135,0.1356,0.2034,0.0269,59,0.0,0.0,Unknown,0.0,0.0,0.0
FL,58,0.5536,0.0,0.4138,0.1073,58,0.0,0.0,Unknown,0.0,0.0,0.0
LAW,56,0.5513,0.0179,0.4286,0.1026,56,0.0,0.0,Unknown,0.0,0.0,0.0
RKT,55,0.5451,0.0,0.4364,0.0902,55,0.0,0.0,Unknown,0.0,0.0,0.0
UBS,54,0.5882,0.0185,0.5741,0.1765,54,0.0,0.0,Unknown,0.0,0.0,0.0
ON,54,0.5446,0.0,0.2963,0.0892,54,0.5672,0.5757,Technology,17977411584.0,29.88,43.02
RCAT,54,0.515,0.0,0.0741,0.03,54,0.0,0.0,Unknown,0.0,0.0,0.0
PLTR,52,0.5522,0.1154,0.5,0.1045,52,0.5672,0.5757,Technology,287838208000.0,508.21,121.97
O,49,0.5927,0.0408,0.5102,0.1853,49,0.3795,0.5445,Real Estate,50599571456.0,50.94,56.03
AMD,49,0.5806,0.0612,0.7347,0.1612,49,0.5672,0.5757,Technology,184126193664.0,82.89,113.56
PDD,49,0.5587,0.0816,0.4082,0.1173,49,0.0,0.0,Unknown,0.0,0.0,0.0
USD,49,0.5566,0.0204,0.3878,0.1132,49,0.0,0.0,Unknown,0.0,0.0,0.0
OR,48,0.5479,0.0208,0.3333,0.0957,48,0.0,0.0,Unknown,0.0,0.0,0.0
GDS,48,0.5037,0.0,0.0625,0.0074,48,0.0,0.0,Unknown,0.0,0.0,0.0
X,47,0.5478,0.0213,0.4255,0.0956,47,0.0,0.0,Unknown,0.0,0.0,0.0
INC,47,0.5382,0.0426,0.3191,0.0764,47,0.0,0.0,Unknown,0.0,0.0,0.0
BKKT,46,0.5397,0.0435,0.3478,0.0794,46,0.0,0.0,Unknown,0.0,0.0,0.0
IR,44,0.6591,0.0,0.7727,0.3182,44,0.5128,0.5687,Industrials,32950822912.0,40.43,81.67
IT,43,0.5909,0.0,0.5814,0.1818,43,0.5672,0.5757,Technology,33361301504.0,26.99,433.45
ATNM,43,0.5652,0.0,0.5581,0.1305,43,0.0,0.0,Unknown,0.0,0.0,0.0
L,43,0.5201,0.0698,0.2326,0.0402,43,0.3882,0.5556,Financial Services,18476402688.0,14.44,88.11
K,43,0.5142,0.0465,0.2791,0.0283,43,0.5072,0.5582,Consumer Defensive,28566956032.0,20.74,82.34
III,40,0.5665,0.05,0.65,0.1331,40,0.0,0.0,Unknown,0.0,0.0,0.0
H,40,0.5238,0.0,0.275,0.0477,40,0.0,0.0,Unknown,0.0,0.0,0.0
TEM,39,0.5051,0.0769,0.1282,0.0101,39,0.0,0.0,Unknown,0.0,0.0,0.0
AAPL,38,0.5565,0.0263,0.3421,0.113,38,0.5672,0.5757,Technology,3003439906816.0,31.37,201.09
BMO,37,0.5636,0.0541,0.5676,0.1272,37,0.0,0.0,Unknown,0.0,0.0,0.0
CERE,36,0.4953,0.5,0.2778,-0.0094,36,0.0,0.0,Unknown,0.0,0.0,0.0
ANF,35,0.5633,0.0571,0.4,0.1267,35,0.0,0.0,Unknown,0.0,0.0,0.0
AMZN,34,0.5512,0.0588,0.3235,0.1024,34,0.4488,0.5652,Consumer Cyclical,2188570787840.0,33.57,206.15
OKTA,33,0.5518,0.0606,0.4848,0.1037,33,0.0,0.0,Unknown,0.0,0.0,0.0
HP,33,0.5322,0.1818,0.303,0.0643,33,0.0,0.0,Unknown,0.0,0.0,0.0
