symbol,articlesInLastWeek,companyNewsScore,bearishPercent,bullishPercent,averageSentimentScore,totalArticles,sectorAverageBullishPercent,sectorAverageNewsScore,sector,marketCap,peRatio,price
BGM,4,0.9,0.0,1.0,0.8,4,0.0,0.0,Unknown,0.0,0.0,0.0
CART,3,0.8167,0.0,1.0,0.6333,3,0.0,0.0,Unknown,0.0,0.0,0.0
BBY,19,0.8084,0.0,1.0,0.6167,19,0.4488,0.5652,Consumer Cyclical,13848498176.0,15.29,65.42
CYBR,3,0.7833,0.0,1.0,0.5667,3,0.0,0.0,Unknown,0.0,0.0,0.0
NSCIF,3,0.7803,0.0,1.0,0.5606,3,0.0,0.0,Unknown,0.0,0.0,0.0
AGS,3,0.775,0.0,1.0,0.55,3,0.0,0.0,Unknown,0.0,0.0,0.0
HBFG,4,0.7749,0.0,1.0,0.5498,4,0.0,0.0,Unknown,0.0,0.0,0.0
CPK,3,0.7736,0.0,1.0,0.5472,3,0.0,0.0,Unknown,0.0,0.0,0.0
ING,4,0.7604,0.0,1.0,0.5208,4,0.0,0.0,Unknown,0.0,0.0,0.0
FWONK,3,0.75,0.0,1.0,0.5,3,0.0,0.0,Unknown,0.0,0.0,0.0
MGMNF,4,0.748,0.0,1.0,0.496,4,0.0,0.0,Unknown,0.0,0.0,0.0
LRCX,6,0.7475,0.0,1.0,0.495,6,0.5672,0.5757,Technology,107343749120.0,23.38,83.92
SSRM,3,0.7456,0.0,1.0,0.4911,3,0.0,0.0,Unknown,0.0,0.0,0.0
QSR,6,0.7428,0.0,1.0,0.4857,6,0.0,0.0,Unknown,0.0,0.0,0.0
HNI,8,0.7406,0.0,1.0,0.4813,8,0.0,0.0,Unknown,0.0,0.0,0.0
ATRO,4,0.734,0.0,1.0,0.4681,4,0.0,0.0,Unknown,0.0,0.0,0.0
BFAM,3,0.7306,0.0,1.0,0.4611,3,0.0,0.0,Unknown,0.0,0.0,0.0
FI,4,0.7242,0.0,0.75,0.4484,4,0.5672,0.5757,Technology,88476573696.0,28.29,159.58
NWG,3,0.7189,0.0,1.0,0.4378,3,0.0,0.0,Unknown,0.0,0.0,0.0
QBTS,4,0.7188,0.0,0.75,0.4375,4,0.0,0.0,Unknown,0.0,0.0,0.0
PBI,3,0.7186,0.0,1.0,0.4371,3,0.0,0.0,Unknown,0.0,0.0,0.0
LTBR,4,0.7181,0.0,1.0,0.4362,4,0.0,0.0,Unknown,0.0,0.0,0.0
SKYH,3,0.7167,0.0,1.0,0.4333,3,0.0,0.0,Unknown,0.0,0.0,0.0
BMA,5,0.715,0.0,1.0,0.43,5,0.0,0.0,Unknown,0.0,0.0,0.0
MSEX,4,0.7123,0.0,0.75,0.4245,4,0.0,0.0,Unknown,0.0,0.0,0.0
BOSC,3,0.7083,0.0,1.0,0.4167,3,0.0,0.0,Unknown,0.0,0.0,0.0
PLMR,4,0.7055,0.0,0.75,0.411,4,0.0,0.0,Unknown,0.0,0.0,0.0
PAHC,6,0.7011,0.0,1.0,0.4023,6,0.0,0.0,Unknown,0.0,0.0,0.0
NXPI,4,0.7,0.0,0.5,0.4,4,0.5672,0.5757,Technology,49565806592.0,21.37,196.2
BJ,4,0.7,0.0,1.0,0.4,4,0.0,0.0,Unknown,0.0,0.0,0.0
GFGF,4,0.7,0.0,1.0,0.4,4,0.0,0.0,Unknown,0.0,0.0,0.0
OC,3,0.7,0.0,1.0,0.4,3,0.0,0.0,Unknown,0.0,0.0,0.0
BROS,3,0.7,0.0,1.0,0.4,3,0.0,0.0,Unknown,0.0,0.0,0.0
TKOMY,4,0.6989,0.0,1.0,0.3979,4,0.0,0.0,Unknown,0.0,0.0,0.0
LASR,3,0.6979,0.0,0.6667,0.3958,3,0.0,0.0,Unknown,0.0,0.0,0.0
ROMJF,3,0.6944,0.0,0.6667,0.3889,3,0.0,0.0,Unknown,0.0,0.0,0.0
AU,5,0.6943,0.0,0.8,0.3885,5,0.0,0.0,Unknown,0.0,0.0,0.0
LGI,12,0.6939,0.0,1.0,0.3878,12,0.0,0.0,Unknown,0.0,0.0,0.0
NCR,4,0.6935,0.0,1.0,0.387,4,0.0,0.0,Unknown,0.0,0.0,0.0
ISNPY,3,0.6931,0.0,1.0,0.3862,3,0.0,0.0,Unknown,0.0,0.0,0.0
HIMS,5,0.6922,0.0,1.0,0.3843,5,0.0,0.0,Unknown,0.0,0.0,0.0
TEAM,3,0.6904,0.0,0.6667,0.3809,3,0.0,0.0,Unknown,0.0,0.0,0.0
IPM,9,0.6889,0.0,1.0,0.3778,9,0.0,0.0,Unknown,0.0,0.0,0.0
UAL,10,0.6872,0.0,0.8,0.3744,10,0.5128,0.5687,Industrials,25848834048.0,7.2,79.14
LTH,3,0.6866,0.0,1.0,0.3733,3,0.0,0.0,Unknown,0.0,0.0,0.0
ZTS,3,0.6852,0.0,1.0,0.3704,3,0.5927,0.5837,Healthcare,74220625920.0,29.93,166.71
AES,9,0.6836,0.0,0.7778,0.3673,9,0.6583,0.6078,Utilities,7062276096.0,5.39,9.92
CLSK,3,0.6833,0.0,1.0,0.3667,3,0.0,0.0,Unknown,0.0,0.0,0.0
HWM,4,0.6813,0.0,0.5,0.3627,4,0.5128,0.5687,Industrials,68200718336.0,55.03,168.95
QQQ,7,0.6794,0.0,0.7143,0.3588,7,0.0,0.0,Unknown,0.0,0.0,0.0
PB,3,0.6779,0.0,0.6667,0.3559,3,0.0,0.0,Unknown,0.0,0.0,0.0
UAE,7,0.6774,0.0,0.4286,0.3547,7,0.0,0.0,Unknown,0.0,0.0,0.0
NICE,14,0.6771,0.0,1.0,0.3543,14,0.0,0.0,Unknown,0.0,0.0,0.0
DHR,4,0.677,0.0,1.0,0.354,4,0.5927,0.5837,Healthcare,136564154368.0,36.98,190.82
ETSY,4,0.675,0.0,0.5,0.35,4,0.0,0.0,Unknown,0.0,0.0,0.0
